pff_OFFTEAM,On_Schedule_Count,On_Schedule_Percentage
BUF,663,47.21%
NO,557,46.50%
CIN,679,45.36%
PHI,714,45.10%
KC,703,45.09%
MIA,606,44.72%
SF,680,44.56%
BLT,606,44.22%
ATL,563,44.05%
CLV,600,43.33%
SEA,635,43.31%
DAL,653,42.42%
MIN,656,42.38%
JAX,683,42.31%
DET,605,42.15%
LV,616,42.05%
NYG,658,41.64%
PIT,598,41.14%
TB,637,40.97%
GB,571,40.63%
LA,522,40.23%
WAS,605,40.17%
TEN,543,39.59%
LAC,621,38.49%
CHI,532,38.35%
NE,558,38.17%
HST,541,37.52%
ARZ,595,37.31%
NYJ,574,36.93%
IND,574,36.76%
DEN,581,36.32%
CAR,523,34.03%
